end,val,accn,fy,fp,form,filed,start,frame
2021-09-25,94680000000,0000320193-23-000106,2023,FY,10-K,2023-11-03,2020-09-27,CY2021
2021-12-25,34630000000,0000320193-22-000007,2022,Q1,10-Q,2022-01-28,2021-09-26,
2021-12-25,34630000000,0000320193-23-000006,2023,Q1,10-Q,2023-02-03,2021-09-26,CY2021Q4
2022-03-26,59640000000,0000320193-22-000059,2022,Q2,10-Q,2022-04-29,2021-09-26,
2022-03-26,59640000000,0000320193-23-000064,2023,Q2,10-Q,2023-05-05,2021-09-26,
2022-03-26,25010000000,0000320193-22-000059,2022,Q2,10-Q,2022-04-29,2021-12-26,
2022-03-26,25010000000,0000320193-23-000064,2023,Q2,10-Q,2023-05-05,2021-12-26,CY2022Q1
2022-06-25,79082000000,0000320193-22-000070,2022,Q3,10-Q,2022-07-29,2021-09-26,
2022-06-25,79082000000,0000320193-23-000077,2023,Q3,10-Q,2023-08-04,2021-09-26,
2022-06-25,19442000000,0000320193-22-000070,2022,Q3,10-Q,2022-07-29,2022-03-27,
2022-06-25,19442000000,0000320193-23-000077,2023,Q3,10-Q,2023-08-04,2022-03-27,CY2022Q2
2022-09-24,99803000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,2021-09-26,
2022-09-24,99803000000,0000320193-23-000106,2023,FY,10-K,2023-11-03,2021-09-26,
2022-09-24,99803000000,0000320193-24-000123,2024,FY,10-K,2024-11-01,2021-09-26,CY2022
2022-12-31,29998000000,0000320193-23-000006,2023,Q1,10-Q,2023-02-03,2022-09-25,
2022-12-31,29998000000,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,2022-09-25,CY2022Q4
2023-04-01,54158000000,0000320193-23-000064,2023,Q2,10-Q,2023-05-05,2022-09-25,
2023-04-01,54158000000,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,2022-09-25,
2023-04-01,24160000000,0000320193-23-000064,2023,Q2,10-Q,2023-05-05,2023-01-01,
2023-04-01,24160000000,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,2023-01-01,CY2023Q1
2023-07-01,74039000000,0000320193-23-000077,2023,Q3,10-Q,2023-08-04,2022-09-25,
2023-07-01,74039000000,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,2022-09-25,
2023-07-01,19881000000,0000320193-23-000077,2023,Q3,10-Q,2023-08-04,2023-04-02,
2023-07-01,19881000000,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,2023-04-02,CY2023Q2
2023-09-30,96995000000,0000320193-23-000106,2023,FY,10-K,2023-11-03,2022-09-25,
2023-09-30,96995000000,0000320193-24-000123,2024,FY,10-K,2024-11-01,2022-09-25,CY2023
2023-12-30,33916000000,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,2023-10-01,
2023-12-30,33916000000,0000320193-25-000008,2025,Q1,10-Q,2025-01-31,2023-10-01,CY2023Q4
2024-03-30,57552000000,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,2023-10-01,
2024-03-30,57552000000,0000320193-25-000057,2025,Q2,10-Q,2025-05-02,2023-10-01,
2024-03-30,23636000000,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,2023-12-31,
2024-03-30,23636000000,0000320193-25-000057,2025,Q2,10-Q,2025-05-02,2023-12-31,CY2024Q1
2024-06-29,79000000000,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,2023-10-01,
2024-06-29,79000000000,0000320193-25-000073,2025,Q3,10-Q,2025-08-01,2023-10-01,
2024-06-29,21448000000,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,2024-03-31,
2024-06-29,21448000000,0000320193-25-000073,2025,Q3,10-Q,2025-08-01,2024-03-31,CY2024Q2
2024-09-28,93736000000,0000320193-24-000123,2024,FY,10-K,2024-11-01,2023-10-01,CY2024
2024-12-28,36330000000,0000320193-25-000008,2025,Q1,10-Q,2025-01-31,2024-09-29,CY2024Q4
2025-03-29,61110000000,0000320193-25-000057,2025,Q2,10-Q,2025-05-02,2024-09-29,
2025-03-29,24780000000,0000320193-25-000057,2025,Q2,10-Q,2025-05-02,2024-12-29,CY2025Q1
2025-06-28,84544000000,0000320193-25-000073,2025,Q3,10-Q,2025-08-01,2024-09-29,
2025-06-28,23434000000,0000320193-25-000073,2025,Q3,10-Q,2025-08-01,2025-03-30,CY2025Q2
